350.5, 11004
351.5, 11390
352.5, 11201
353.5, 11842
354.5, 11193
355.5, 11730
356.5, 11229
357.5, 11710
358.5, 11121
359.5, 11380
360.5, 11262
361.5, 11250
362.5, 11678
363.5, 11877
364.5, 11583
365.5, 11611
366.5, 10872
367.5, 11941
368.5, 11379
369.5, 11825
370.5, 11482
371.5, 11313
372.5, 11440
373.5, 11957
374.5, 12076
375.5, 11403
376.5, 11817
377.5, 11730
378.5, 11900
379.5, 11684
380.5, 11612
381.5, 11626
382.5, 11832
383.5, 11685
384.5, 11887
385.5, 11789
386.5, 11980
387.5, 11654
388.5, 11388
389.5, 11646
390.5, 11443
391.5, 11624
392.5, 11225
393.5, 11466
394.5, 11345
395.5, 11460
396.5, 11542
397.5, 10957
398.5, 11337
399.5, 11129
400.5, 10939
401.5, 11204
402.5, 10542
403.5, 10948
404.5, 10403
405.5, 10097
406.5, 10059
407.5, 9120
408.5, 9596
409.5, 8868
410.5, 8440
411.5, 8164
412.5, 8438
413.5, 7551
414.5, 8022
415.5, 7169
416.5, 8051
417.5, 7281
418.5, 7611
419.5, 7281
420.5, 7279
421.5, 7022
422.5, 7349
423.5, 6795
424.5, 6914
425.5, 6798
426.5, 6722
427.5, 6855
428.5, 6597
429.5, 6704
430.5, 6255
431.5, 6581
432.5, 6554
433.5, 6311
434.5, 6139
435.5, 5981
436.5, 6139
437.5, 6464
438.5, 6351
439.5, 5526
440.5, 5993
441.5, 5999
442.5, 5709
443.5, 5788
444.5, 5733
445.5, 5666
446.5, 5621
447.5, 5669
448.5, 5599
449.5, 5417
450.5, 5420
451.5, 5276
452.5, 5071
453.5, 5198
454.5, 5372
455.5, 5061
456.5, 5277
457.5, 4957
458.5, 4914
459.5, 5037
460.5, 4823
461.5, 4973
462.5, 4707
463.5, 4916
464.5, 4505
465.5, 4714
466.5, 4477
467.5, 4729
468.5, 4569
469.5, 4461
470.5, 4535
471.5, 4317
472.5, 4318
473.5, 4205
474.5, 4074
475.5, 4187
476.5, 4119
477.5, 4190
478.5, 4017
479.5, 4070
480.5, 3934
481.5, 3774
482.5, 3798
483.5, 3885
484.5, 3537
485.5, 3960
486.5, 3963
487.5, 3574
488.5, 3749
489.5, 3598
490.5, 3763
491.5, 3757
492.5, 3674
493.5, 3552
494.5, 3520
495.5, 3485
496.5, 3792
497.5, 3488
498.5, 3333
499.5, 3475
500.5, 3482
501.5, 3586
502.5, 3725
503.5, 3381
504.5, 3610
505.5, 3783
506.5, 4256
507.5, 4726
508.5, 5572
509.5, 6891
510.5, 7438
511.5, 6944
512.5, 5656
513.5, 4287
514.5, 3752
515.5, 3588
516.5, 3114
517.5, 3314
518.5, 3212
519.5, 3175
520.5, 3150
521.5, 2971
522.5, 3050
523.5, 3132
524.5, 2992
525.5, 2891
526.5, 3063
527.5, 2788
528.5, 3015
529.5, 2842
530.5, 2951
531.5, 2860
532.5, 2974
533.5, 2727
534.5, 2894
535.5, 2887
536.5, 2774
537.5, 2791
538.5, 2713
539.5, 2817
540.5, 2669
541.5, 2798
542.5, 2843
543.5, 2730
544.5, 2741
545.5, 2736
546.5, 2858
547.5, 2793
548.5, 2772
549.5, 2711
550.5, 2883
551.5, 2849
552.5, 2889
553.5, 3005
554.5, 2929
555.5, 3312
556.5, 3190
557.5, 3634
558.5, 3915
559.5, 4325
560.5, 5643
561.5, 8300
562.5, 12980
563.5, 26361
564.5, 38944
565.5, 30066
566.5, 12002
567.5, 6289
568.5, 4474
569.5, 4107
570.5, 3667
571.5, 3885
572.5, 3678
573.5, 3989
574.5, 4256
575.5, 4968
576.5, 5688
577.5, 5678
578.5, 7580
579.5, 8110
580.5, 11881
581.5, 15384
582.5, 28790
583.5, 47065
584.5, 112161
585.5, 177058
586.5, 177100
587.5, 72599
588.5, 25679
589.5, 13315
590.5, 8593
591.5, 6376
592.5, 5633
593.5, 4762
594.5, 4160
595.5, 3416
596.5, 3235
597.5, 2866
598.5, 2978
599.5, 2750
600.5, 2682
601.5, 2562
602.5, 2355
603.5, 2206
604.5, 2149
605.5, 2152
606.5, 1943
607.5, 1693
608.5, 1785
609.5, 1928
610.5, 1661
611.5, 1743
