beta channel, neutron ToF, beta_time (s)
3, 247.799, 5.07951
3, 229.884, 5.07962
2, 388.970, 5.08003
2, 345.799, 5.08551
3, 190.312, 5.09316
3, 187.628, 5.10166
2, 187.337,  5.1028
3, 141.190, 5.10657
3, 169.738, 5.10877
3, 180.643, 5.11193
3, 183.023, 5.11247
2, 181.028, 5.12526
3, 239.924, 5.12919
3, 187.020, 5.12997
3, 387.265, 5.13233
3, 390.042, 5.13233
3, 225.694, 5.13412
3, 223.477, 5.13571
3, 207.072, 5.13759
2, 443.667, 5.14136, 5.14136
3, 137.356, 5.14565
3, 184.823, 5.14922
3, 390.078, 5.16377
3, 250.833, 5.17176
3, 252.579, 5.17187
2, 118.149, 5.17743
2, 200.878, 5.17975
3, 180.872, 5.18395
2, 211.317, 5.18445
3, 237.782, 5.18772
2, 297.197, 5.20473
2, 620.816, 5.20763
3, 380.440, 5.20776
3, 123.663,  5.2109
2, 123.578, 5.21426
3, 214.739, 5.21436
3, 269.461, 5.21834
3, 238.656,  5.2257
2, 209.207, 5.22711
2, 176.630, 5.23134
2, 234.541, 5.23703
3, 312.325, 5.24299
3, 124.739, 5.24741
3, 194.734, 5.25612
2, 239.345, 5.25722
3, 174.464, 5.25813
2, 464.599, 5.26303, 5.26303
2, 199.141, 5.26311
3, 199.141, 5.26311
2, 290.931, 5.26428
2, 121.243, 5.26726
3, 121.243, 5.26726
3, 201.341, 5.28033
2, 217.339, 5.28419
2, 225.827, 5.28907
2, 119.649, 5.28917
3, 119.649, 5.28917
2, 454.834, 5.30734
2, 177.383, 5.30741
2, 275.372, 5.30741
2, 301.892, 5.30833, 5.30833
3, 253.067, 5.31136
3, 192.789, 5.31495
2, 313.707, 5.31743
3, 121.363, 5.32684
3, 234.870, 5.32746
3, 194.531, 5.33798
2, 380.835, 5.33883
3, 201.723, 5.34076
2, 201.605,  5.3419
3, 203.663, 5.34496
2, -44.069, 5.34616
2, -47.112, 5.34616
2, 180.162,  5.3467
3, 260.631,  5.3509
2, 173.481, 5.35091
3, 399.247, 5.35938
3, 613.349, 5.36086
3, 147.838, 5.36214
3, 353.130, 5.36404
3, 571.742, 5.37037
3, 186.184,  5.3706
2, 585.199, 5.37882
3, 288.237, 5.38766
3, 176.760,  5.3893
2, 234.669, 5.38958
2, 215.538, 5.38958
2, 184.919, 5.39127
3, 143.304, 5.39184
2, 113.566, 5.39562
3, 213.015, 5.39648
3, 251.762, 5.39821
3, 192.484, 5.40703
2, 118.624, 5.42141
2, 178.750, 5.43079
3, 450.455, 5.43347
3, 143.543, 5.43729
3, 218.191, 5.43751
3, 145.637, 5.44312
3, 250.140, 5.45371
2, 614.783, 5.46076
2, 610.642, 5.46076
2, 322.894, 5.46452
3, 186.692, 5.46717
2, 177.072, 5.46964
3, 227.261, 5.47762
3, 228.725, 5.47762
3, 298.932, 5.48085
3, 214.195, 5.48482
2, 229.980, 5.49331
3, 205.726, 5.49406
2, 612.668,  5.5028
3, 165.851, 5.51365
2, -268.368, 5.51746
3, -268.368, 5.51746
3, 195.942, 5.52013
2, 139.395, 5.52271
2, 176.181, 5.52474
3, 191.826, 5.52978
3, 200.598, 5.53033
3, 240.007,  5.5309
2, 218.685, 5.53402
2, 137.571, 5.53752
2, 247.731,  5.5381
3, 251.645, 5.53999
3, 120.919, 5.54129
2, 205.268, 5.54729
3, 200.506, 5.55066
3, 221.608, 5.55103
3, 188.859, 5.55207
3, 592.885, 5.55207
3, 249.406, 5.55222
3, 189.787, 5.55375
2, 205.093, 5.55609
3, 201.368,  5.5567
2, 202.821, 5.55732
3, 313.579, 5.56247
3, 120.368, 5.56476
3, 229.463, 5.56543
3, 136.629, 5.56547
3, 284.032, 5.56651
3, 325.039, 5.57065
3, 184.202, 5.57226
2, 205.204, 5.57896
3, 240.964, 5.58052
3, 323.748, 5.58229
3, 185.918, 5.59002
3, 200.093, 5.60133
3, 180.897, 5.61183
3, 220.439, 5.62614
3, 297.950, 5.62656
3, 180.346, 5.62656
3, 602.279, 5.63405
3, 123.671, 5.66322
3, 209.032, 5.68296
3, 185.154, 5.69032
3, 230.883, 5.69478
2, 170.407, 5.70064
3, 238.646,  5.7023
2, 278.118, 5.70648
3, 278.118, 5.70648
2, 290.475, 5.70751
3, 120.572, 5.71369
3, 119.059, 5.71369
2, 141.324, 5.75367
2, 143.310, 5.75367
2, 196.959, 5.75895
2, 122.298, 5.76116
3, 119.676, 5.76829
3, 211.037, 5.78826
3, 242.450, 5.79254
2, 214.040, 5.79481
3, 345.040, 5.79497
3, 323.700, 5.79497
2, 209.703, 5.81366
2, 314.092,  5.8155
2, 179.807, 5.81771
2, 143.380, 5.82235
2, 124.466, 5.82235
2, 166.920,  5.8255
2, 140.602, 5.83034
2, 143.626, 5.83752
3, 204.320, 5.83792
3, 199.047, 5.84333
3, 180.853, 5.84383
2, 217.711,  5.8457
2, 224.954,  5.8457
2, 235.154, 5.85195
3, 192.440, 5.85679
3, 197.236, 5.85679
2, 159.684, 5.86607
3, 216.985, 5.87178
3, 159.202, 5.87298
3, 176.598, 5.87836
2, 372.590, 5.88862
2, 205.360, 5.89346
3, 205.360, 5.89346
3, 198.939, 5.89575
2, 202.354, 5.89599
3, 239.270, 5.89888
3, 231.680, 5.90306
3, 251.266, 5.90991
2, 982.113, 5.92465
3, 982.113, 5.92465
3, 119.855, 5.93317
3, 204.858, 5.97838
3, 178.495, 5.98663
2, 201.381, 5.98989
3, 175.066, 5.99555
2, 492.319, 6.00418
2, 177.181, 6.00855
3, 262.030, 6.01021
2, 231.040, 6.01305
3, 201.281, 6.01519
2, 208.585, 6.02642
2, 172.555,  6.0276
2, 253.245, 6.03125
3, 235.269, 6.03256
3, 247.138, 6.04008
3, 350.558, 6.05348
3, 166.910, 6.05672
3, 252.514, 6.05863
3, 504.508, 6.06331
3, 203.062, 6.09801
3, 210.074, 6.10447
2, 175.187, 6.11444
2, 140.091, 6.11546
3, 299.271, 6.11574
3, 158.932, 6.12403
3, 218.816, 6.12463
3, 203.595, 6.12757
2, 261.301, 6.13794
2, 208.914, 6.13896
2, 205.820, 6.15533
3, 251.014, 6.16972
2, 180.640, 6.18131
3, 550.434, 6.18633
2, 251.259, 6.18753
2, 242.282, 6.18757
2, 240.565, 6.18757
3, 203.398, 6.19024
2, 206.809, 6.19047
3, 183.187, 6.19569
3, 175.735, 6.21502
3, 170.919, 6.21502
3, 203.255, 6.21716
2, 403.236, 6.22404
3, 123.729, 6.23042
3, 116.173, 6.23683
3, 154.152, 6.24463
3, 170.582, 6.25343
3, 148.011, 6.25516
3, 226.610, 6.26085
2, 187.344, 6.27073
2, 173.841, 6.27073
3, 197.802, 6.27265
3, 177.746, 6.30932
2, 170.736, 6.32426
2, 162.376, 6.32626
3, 120.911, 6.33046
2, 596.390, 6.33091
3, 596.390, 6.33091
2, 156.169, 6.33342
3, 156.169, 6.33342
3, 203.519, 6.34607
3, 137.208,  6.3548
3, 189.210, 6.35589
2, 344.575, 6.36057
3, 141.273, 6.36856
3, 211.828, 6.37316
2, 347.697, 6.37547
2, 353.619, 6.37547
2, 186.298, 6.39113
3, 186.298, 6.39113
3, 179.412,  6.4236
2, 199.257, 6.42554
2, 201.990, 6.42554
3, 199.257, 6.42554
3, 201.990, 6.42554
3, 123.196, 6.43967
3, 191.838,  6.4426
