beta channel, neutron ToF, beta_time (s)
3, 260.750,   3.849
2, 206.273, 3.85128
2, 202.672, 3.85152
3, 119.820, 3.85306
2, 590.062, 3.85352
3, 590.062, 3.85352
2, 209.078, 3.85426
3, 219.508, 3.85965
2, 232.422, 3.85966
3, 166.930, 3.86094
2, 183.133, 3.86148
2, 227.938, 3.88368
2, 193.070, 3.89346
2, 197.148, 3.89346
3, 193.070, 3.89346
3, 197.148, 3.89346
3, 199.266, 3.89827
2, 361.078, 3.90018
2, 232.117, 3.90463
2, 307.438, 3.90529
2, 306.414, 3.90529
3, 307.438, 3.90529
3, 306.414, 3.90529
2, 402.617, 3.90906
3, 217.375, 3.90948
3, 201.617, 3.91666
2, 508.289, 3.93019
3, 119.539,  3.9307
2, 204.945, 3.93665
3, 199.438, 3.94359
3, 164.852, 3.94606
2, 191.859, 3.95117
2, 148.477, 3.95894
2, 144.406, 3.95894
2, 227.742, 3.96136
2, 245.312, 3.96982
2, 145.477, 3.98395
3, 145.477, 3.98396
3, 120.922, 3.98643
3, 250.766, 3.99198
2, 305.742, 3.99365
2, 308.508, 3.99365
3, 305.742, 3.99365
3, 308.508, 3.99365
3, 519.906, 4.00078
3, 223.266, 4.01117
2, 178.836, 4.01138
3, 197.492, 4.01905
3, 212.055, 4.02625
2, 174.047, 4.04257
2, 329.172, 4.04861
2, 201.102, 4.05207
2, 170.352, 4.06449
3, 183.648, 4.08326
2, 118.461, 4.08538
2, 232.031, 4.09283
3, 212.984, 4.09475
2, 254.875, 4.09566
2, 146.148, 4.10814
2, 155.078, 4.12252
3, 204.781,  4.1271
2, 256.398, 4.12741
3, 301.156, 4.13354
2, 238.352, 4.18798
3, 135.602, 4.18818
2, 268.320, 4.19493
3, 307.914, 4.19774
2, 284.062, 4.19995
3, 226.891, 4.20152
3, 209.750, 4.20152
3, 243.586,  4.2081
3, 184.336, 4.22081
3, 120.688, 4.23421
2, 243.703, 4.24008
2, 466.961, 4.24638
3, 231.719, 4.24963
3, 195.953, 4.25095
3, 133.477, 4.25187
2, 196.500, 4.25863
2, 192.844, 4.26662
3, 205.523, 4.26981
3, 216.898, 4.27953
2, 143.547,  4.2814
3, 184.539, 4.28496
2, 194.859, 4.29362
3, 199.500, 4.29407
3, 234.867, 4.29617
3, 185.734, 4.30462
3, 178.141,  4.3185
2, 177.594, 4.32175
2, 116.359, 4.32868
3, 191.172, 4.32878
3, 297.766,  4.3337
3, 209.688, 4.33622
2, 241.602, 4.35891
2, 143.094,  4.3627
2, 312.070, 4.36463
3, 179.578, 4.36967
3, 236.992, 4.37538
2, 176.242, 4.39509
3, 228.297, 4.39639
2, 198.766, 4.40247
2, 279.133, 4.40283
3, 279.133, 4.40283
3, 237.234, 4.40326
2, 214.820, 4.40379
3, 591.281, 4.40454
2, 184.656, 4.40546
2, 180.438,  4.4148
2, 187.625,  4.4148
2, 255.555, 4.41839
3, 262.141, 4.43675
3, 197.367, 4.44234
3, 241.445, 4.47861
2, 184.133, 4.49828
2, 205.398, 4.52174
3, 130.273, 4.52342
3, 172.000,  4.5284
2,  89.062, 4.59016
2,  85.891, 4.59016
2, 143.617, 4.59367
3, 178.992, 4.61192
2, 318.812, 4.61651
2, 252.062, 4.61797
3, 252.062, 4.61797
3, 271.680, 4.62483
3, 142.109, 4.62488
3, 199.953, 4.64202
2, 237.406,  4.6464
2, 244.891,  4.6464
3, 237.406,  4.6464
3, 244.891,  4.6464
2,  88.938, 4.64648
2, 135.250, 4.65446
2, 188.367, 4.66188
3, 172.648, 4.66946
2, 334.906,  4.6781
3, 200.125, 4.71338
3, 189.422, 4.72973
2, 186.156, 4.74717
2, 189.078, 4.74717
3, 186.156, 4.74717
3, 189.078, 4.74717
2, 266.469, 4.75597
2, 222.047, 4.77251
2, 934.234, 4.77251
3, 257.453, 4.78127
3, 285.070, 4.78127
3, 193.344, 4.79547
2, 252.008, 4.82625
2, 255.984, 4.82625
3, 252.008, 4.82625
3, 255.984, 4.82625
2, 138.953, 4.83385
2, 184.289,  4.8439
3, 221.766, 4.86111
2, 229.797, 4.86239
3, 143.984,  4.8859
3, 229.805, 4.88864
2, 159.641, 4.90018
2, 196.508,  4.9048
3, 258.203, 4.90868
2, 255.391, 4.92187
3, 255.391, 4.92187
2, 243.289,  4.9253
3, 221.836, 4.93137
3, 529.445, 4.95851
2, 139.266, 4.95989
3, 146.156,  4.9634
3, 473.219, 4.96499
3, 118.148, 4.97592
3, 278.477, 4.97791
3, 214.164, 4.99026
3, 281.531, 4.99629
3, 300.539, 5.01236
3, 197.062,  5.0149
2, 214.742, 5.02126
2, 224.375, 5.02672
2, 449.938, 5.03645
2, 148.562, 5.05527
2, 177.969, 5.06455
3, 178.414, 5.10024
2, 210.945, 5.10695
3, 240.930, 5.10772
3, 202.664, 5.12302
2, 370.203, 5.12533
2, 374.852, 5.12533
3, 370.203, 5.12533
3, 374.852, 5.12533
3, 528.039, 5.13309
3, 207.000, 5.14985
3, 205.602, 5.16418
3, 207.648, 5.18529
3, 145.367, 5.21941
3, 203.258, 5.27687
3, 357.164, 5.28745
3, 147.938, 5.29088
2, 289.359, 5.30448
3, 125.438, 5.32243
2, 193.406, 5.34441
3, 152.828, 5.34666
3, 187.141, 5.35049
3, 258.242, 5.37536
3, 249.547, 5.37717
2, 157.734, 5.38288
3, 198.742, 5.40128
2, 183.070, 5.40791
2, 195.359, 5.40796
2, 278.086, 5.41171
2, 236.422, 5.41193
2, 194.156,  5.4316
2, 215.719, 5.46057
2, 191.781, 5.46976
3, 453.445, 5.47583
2, 499.312, 5.48422
3, 499.312, 5.48422
2, 198.039, 5.50084
3, 287.258, 5.50934
3, 265.930, 5.52945
2, 137.383, 5.54413
2, 130.141, 5.56052
2, 130.141, 5.56052
3, 232.094, 5.56448
3, 267.039,  5.5722
3, 140.227, 5.57429
2, 117.875, 5.59317
3, 180.570, 5.62404
3, 185.422, 5.65475
3, 219.008, 5.66699
2, 120.008, 5.68407
3, 185.844,  5.6849
3, 211.570, 5.69898
2, 210.180, 5.75659
3, 455.734, 5.76346
3, 142.922, 5.78517
3, 197.367, 5.81877
2, 282.633, 5.81954
2, 213.023, 5.83493
3, 195.508, 5.87201
2, 178.586, 5.89914
2, 231.289, 5.90689
2, 202.648, 5.91931
2, 190.430, 5.93435
3, 333.383, 5.97947
3, 578.805, 5.98868
3, 208.203, 6.00554
3, 195.156, 6.01061
3, 240.258, 6.01593
2, 140.891, 6.02193
3, 356.180, 6.08937
3, 140.570, 6.10374
3, 349.758, 6.12047
2, 254.195, 6.13095
2, 255.375, 6.13095
3, 254.195, 6.13095
3, 255.375, 6.13095
3, 307.695, 6.13866
3, 205.516, 6.15382
3, 412.656, 6.15382
2, 385.422, 6.16566
2, 579.969, 6.26296
2, 301.859, 6.29061
3, 252.672, 6.33221
3, 206.758, 6.34297
2, 174.102, 6.38568
2, 224.383, 6.38649
2, 132.969, 6.39496
2, 234.555, 6.40643
3, 237.789, 6.42074
2, 214.617, 6.42294
2, 142.055, 6.51233
2, 502.812, 6.51274
3, 279.156, 6.51514
2, 192.406, 6.52811
3, 202.656, 6.55511
2, 135.547, 6.57986
2, 185.242, 6.58819
2, 330.367, 6.59454
3, 392.766, 6.64764
2, 138.320, 6.69477
2, 133.648, 6.86167
2, 179.305, 6.87011
2, 320.227, 6.87652
2, 198.844, 6.88639
3, 448.211, 6.97279
3, 190.922, 7.01551
3, 200.672, 7.01794
2, 229.578, 7.05459
3, 579.055, 7.19249
2, 181.328, 7.21779
2, 166.570, 7.23934
3, 144.062, 7.30016
3, 141.016, 7.41113
2, 175.367,  7.4287
2, 175.812,  7.4287
3, 175.367,  7.4287
3, 175.812,  7.4287
3, 145.336, 7.43355
3, 200.648, 7.48993
2, 137.461, 7.49792
3, 191.875, 7.53372
3, 145.211, 7.58664
3, 183.922, 7.61641
2, 204.688, 7.63039
2, 115.789, 7.69011
3, 192.773, 7.72166
2, 122.461, 7.79595
2, 120.102, 7.79595
3, 122.461, 7.79595
3, 120.102, 7.79595
2, 140.430, 7.86116
2, 200.914, 7.86368
3, 210.594, 7.86755
3, 257.500, 7.92955
2, 485.516, 8.04108
2, 327.539, 8.12391
3, 327.539, 8.12391
3, 276.891,  8.2258
2, 136.539, 8.25267
3, 167.344, 8.31133
2, 138.766, 8.31865
3, 235.914, 8.50711
3, 436.055, 8.56423
2, 243.531, 8.57555
2, 254.344, 8.59458
3, 237.711, 8.67356
2, 492.117,  8.7527
2, 120.367, 9.12175
2, 140.828, 9.19585
2, 142.789, 9.30481
2, 138.883,  9.3266
2, 115.617, 9.33436
2, 281.422, 9.36675
2, 283.930, 9.36675
2, 139.273, 9.36984
3, 398.016, 9.37044
3, 118.062, 9.38301
3, 145.344, 9.41366
2, 289.320,  9.6134
2, 199.148, 9.66016
3, 249.336, 9.69952
3, 144.102, 9.73969
2, 117.320, 9.87865
2, 116.156, 9.90716
2, 170.406,  9.9719
2, 526.086, 9.97286
2, 143.391, 10.0139
3, 143.219, 10.0723
2, 180.367, 10.2256
3, 170.672, 10.3412
2, 184.297, 10.6269
2, 178.578, 10.6269
3, 142.188, 11.1132
2, 136.766,  11.199
2, 146.703, 11.3046
2, 147.648, 11.3046
2, 143.688, 11.5181
2, 119.109, 11.5561
3, 225.539,  11.643
2, 119.898, 11.8146
3, 191.445, 11.8611
2, 545.383, 12.0029
