# Histogram: 103
# File: K47_T1_003-7.his
#X  N  dN
0.5 8542 92.4229
1.5 567 23.8118
2.5 572 23.9165
3.5 556 23.5797
4.5 618 24.8596
5.5 556 23.5797
6.5 528 22.9783
7.5 414 20.347
8.5 347 18.6279
9.5 349 18.6815
10.5 251 15.843
11.5 212 14.5602
12.5 152 12.3288
13.5 132 11.4891
14.5 113 10.6301
15.5 86 9.27362
16.5 88 9.38083
17.5 56 7.48331
18.5 54 7.34847
19.5 45 6.7082
20.5 39 6.245
21.5 43 6.55744
22.5 33 5.74456
23.5 34 5.83095
24.5 37 6.08276
25.5 33 5.74456
26.5 33 5.74456
27.5 40 6.32456
28.5 37 6.08276
29.5 27 5.19615
30.5 38 6.16441
31.5 35 5.91608
32.5 48 6.9282
33.5 58 7.61577
34.5 55 7.4162
35.5 60 7.74597
36.5 61 7.81025
37.5 48 6.9282
38.5 72 8.48528
39.5 39 6.245
40.5 63 7.93725
41.5 79 8.88819
42.5 79 8.88819
43.5 58 7.61577
44.5 52 7.2111
45.5 82 9.05539
46.5 82 9.05539
47.5 68 8.24621
48.5 82 9.05539
49.5 70 8.3666
50.5 82 9.05539
51.5 65 8.06226
52.5 87 9.32738
53.5 81 9
54.5 88 9.38083
55.5 77 8.77496
56.5 98 9.89949
57.5 85 9.21954
58.5 99 9.94987
59.5 89 9.43398
60.5 101 10.0499
61.5 106 10.2956
62.5 83 9.11043
63.5 94 9.69536
64.5 81 9
65.5 107 10.3441
66.5 113 10.6301
67.5 92 9.59166
68.5 111 10.5357
69.5 87 9.32738
70.5 91 9.53939
71.5 98 9.89949
72.5 83 9.11043
73.5 103 10.1489
74.5 95 9.74679
75.5 85 9.21954
76.5 87 9.32738
77.5 105 10.247
78.5 88 9.38083
79.5 97 9.84886
80.5 110 10.4881
81.5 112 10.583
82.5 103 10.1489
83.5 116 10.7703
84.5 77 8.77496
85.5 97 9.84886
86.5 97 9.84886
87.5 82 9.05539
88.5 109 10.4403
89.5 93 9.64365
90.5 97 9.84886
91.5 73 8.544
92.5 96 9.79796
93.5 75 8.66025
94.5 97 9.84886
95.5 93 9.64365
96.5 86 9.27362
97.5 97 9.84886
98.5 84 9.16515
99.5 118 10.8628
100.5 93 9.64365
101.5 93 9.64365
102.5 106 10.2956
103.5 100 10
104.5 121 11
105.5 92 9.59166
106.5 96 9.79796
107.5 86 9.27362
108.5 107 10.3441
109.5 101 10.0499
110.5 114 10.6771
111.5 105 10.247
112.5 110 10.4881
113.5 99 9.94987
114.5 93 9.64365
115.5 106 10.2956
116.5 90 9.48683
117.5 97 9.84886
118.5 101 10.0499
119.5 117 10.8167
120.5 100 10
121.5 103 10.1489
122.5 95 9.74679
123.5 115 10.7238
124.5 87 9.32738
125.5 101 10.0499
126.5 95 9.74679
127.5 104 10.198
128.5 108 10.3923
129.5 119 10.9087
130.5 95 9.74679
131.5 115 10.7238
132.5 114 10.6771
133.5 105 10.247
134.5 106 10.2956
135.5 108 10.3923
136.5 109 10.4403
137.5 101 10.0499
138.5 92 9.59166
139.5 99 9.94987
140.5 112 10.583
141.5 86 9.27362
142.5 105 10.247
143.5 112 10.583
144.5 105 10.247
145.5 93 9.64365
146.5 99 9.94987
147.5 125 11.1803
148.5 89 9.43398
149.5 106 10.2956
150.5 107 10.3441
151.5 107 10.3441
152.5 96 9.79796
153.5 114 10.6771
154.5 108 10.3923
155.5 109 10.4403
156.5 109 10.4403
157.5 91 9.53939
158.5 118 10.8628
159.5 113 10.6301
160.5 110 10.4881
161.5 106 10.2956
162.5 123 11.0905
163.5 109 10.4403
164.5 108 10.3923
165.5 119 10.9087
166.5 104 10.198
167.5 140 11.8322
168.5 114 10.6771
169.5 105 10.247
170.5 105 10.247
171.5 97 9.84886
172.5 117 10.8167
173.5 103 10.1489
174.5 100 10
175.5 111 10.5357
176.5 115 10.7238
177.5 130 11.4018
178.5 127 11.2694
179.5 109 10.4403
180.5 96 9.79796
181.5 129 11.3578
182.5 115 10.7238
183.5 99 9.94987
184.5 127 11.2694
185.5 122 11.0454
186.5 119 10.9087
187.5 104 10.198
188.5 123 11.0905
189.5 113 10.6301
190.5 102 10.0995
191.5 105 10.247
192.5 116 10.7703
193.5 111 10.5357
194.5 121 11
195.5 110 10.4881
196.5 117 10.8167
197.5 116 10.7703
198.5 104 10.198
199.5 95 9.74679
200.5 103 10.1489
201.5 113 10.6301
202.5 136 11.6619
203.5 104 10.198
204.5 126 11.225
205.5 110 10.4881
206.5 105 10.247
207.5 101 10.0499
208.5 111 10.5357
209.5 93 9.64365
210.5 110 10.4881
211.5 122 11.0454
212.5 110 10.4881
213.5 87 9.32738
214.5 103 10.1489
215.5 107 10.3441
216.5 107 10.3441
217.5 101 10.0499
218.5 110 10.4881
219.5 107 10.3441
220.5 103 10.1489
221.5 129 11.3578
222.5 103 10.1489
223.5 106 10.2956
224.5 98 9.89949
225.5 107 10.3441
226.5 112 10.583
227.5 107 10.3441
228.5 144 12
229.5 124 11.1355
230.5 110 10.4881
231.5 97 9.84886
232.5 94 9.69536
233.5 102 10.0995
234.5 103 10.1489
235.5 99 9.94987
236.5 121 11
237.5 109 10.4403
238.5 107 10.3441
239.5 95 9.74679
240.5 98 9.89949
241.5 106 10.2956
242.5 116 10.7703
243.5 103 10.1489
244.5 99 9.94987
245.5 137 11.7047
246.5 131 11.4455
247.5 107 10.3441
248.5 101 10.0499
249.5 124 11.1355
250.5 109 10.4403
251.5 129 11.3578
252.5 130 11.4018
253.5 99 9.94987
254.5 84 9.16515
255.5 106 10.2956
256.5 115 10.7238
257.5 111 10.5357
258.5 110 10.4881
259.5 112 10.583
260.5 107 10.3441
261.5 107 10.3441
262.5 123 11.0905
263.5 116 10.7703
264.5 116 10.7703
265.5 117 10.8167
266.5 108 10.3923
267.5 125 11.1803
268.5 128 11.3137
269.5 116 10.7703
270.5 134 11.5758
271.5 127 11.2694
272.5 121 11
273.5 140 11.8322
274.5 118 10.8628
275.5 116 10.7703
276.5 142 11.9164
277.5 146 12.083
278.5 112 10.583
279.5 160 12.6491
280.5 123 11.0905
281.5 134 11.5758
282.5 136 11.6619
283.5 116 10.7703
284.5 113 10.6301
285.5 129 11.3578
286.5 120 10.9545
287.5 110 10.4881
288.5 146 12.083
289.5 147 12.1244
290.5 152 12.3288
291.5 127 11.2694
292.5 134 11.5758
293.5 137 11.7047
294.5 151 12.2882
295.5 130 11.4018
296.5 135 11.619
297.5 134 11.5758
298.5 133 11.5326
299.5 119 10.9087
300.5 154 12.4097
301.5 139 11.7898
302.5 131 11.4455
303.5 139 11.7898
304.5 153 12.3693
305.5 122 11.0454
306.5 163 12.7671
307.5 136 11.6619
308.5 135 11.619
309.5 130 11.4018
310.5 126 11.225
311.5 139 11.7898
312.5 143 11.9583
313.5 151 12.2882
314.5 140 11.8322
315.5 157 12.53
316.5 161 12.6886
317.5 144 12
318.5 138 11.7473
319.5 165 12.8452
320.5 151 12.2882
321.5 133 11.5326
322.5 138 11.7473
323.5 184 13.5647
324.5 140 11.8322
325.5 149 12.2066
326.5 157 12.53
327.5 156 12.49
328.5 166 12.8841
329.5 168 12.9615
330.5 180 13.4164
331.5 183 13.5277
332.5 151 12.2882
333.5 161 12.6886
334.5 170 13.0384
335.5 164 12.8062
336.5 167 12.9228
337.5 150 12.2474
338.5 158 12.5698
339.5 172 13.1149
340.5 176 13.2665
341.5 131 11.4455
342.5 169 13
343.5 167 12.9228
344.5 186 13.6382
345.5 180 13.4164
346.5 176 13.2665
347.5 195 13.9642
348.5 189 13.7477
349.5 187 13.6748
350.5 193 13.8924
351.5 168 12.9615
352.5 183 13.5277
353.5 196 14
354.5 186 13.6382
355.5 190 13.784
356.5 181 13.4536
357.5 166 12.8841
358.5 173 13.1529
359.5 202 14.2127
360.5 192 13.8564
361.5 215 14.6629
362.5 181 13.4536
363.5 208 14.4222
364.5 185 13.6015
365.5 202 14.2127
366.5 208 14.4222
367.5 177 13.3041
368.5 195 13.9642
369.5 200 14.1421
370.5 197 14.0357
371.5 176 13.2665
372.5 166 12.8841
373.5 197 14.0357
374.5 206 14.3527
375.5 202 14.2127
376.5 208 14.4222
377.5 201 14.1774
378.5 192 13.8564
379.5 188 13.7113
380.5 204 14.2829
381.5 190 13.784
382.5 211 14.5258
383.5 209 14.4568
384.5 195 13.9642
385.5 210 14.4914
386.5 190 13.784
387.5 231 15.1987
388.5 225 15
389.5 219 14.7986
390.5 208 14.4222
391.5 217 14.7309
392.5 243 15.5885
393.5 228 15.0997
394.5 238 15.4272
395.5 220 14.8324
396.5 247 15.7162
397.5 234 15.2971
398.5 204 14.2829
399.5 227 15.0665
400.5 243 15.5885
401.5 275 16.5831
402.5 246 15.6844
403.5 254 15.9374
404.5 270 16.4317
405.5 252 15.8745
406.5 225 15
407.5 253 15.906
408.5 266 16.3095
409.5 235 15.3297
410.5 268 16.3707
411.5 262 16.1864
412.5 240 15.4919
413.5 233 15.2643
414.5 264 16.2481
415.5 232 15.2315
416.5 229 15.1327
417.5 217 14.7309
418.5 248 15.748
419.5 242 15.5563
420.5 215 14.6629
421.5 219 14.7986
422.5 224 14.9666
423.5 231 15.1987
424.5 241 15.5242
425.5 235 15.3297
426.5 226 15.0333
427.5 255 15.9687
428.5 221 14.8661
429.5 252 15.8745
430.5 251 15.843
431.5 221 14.8661
432.5 241 15.5242
433.5 216 14.6969
434.5 207 14.3875
435.5 212 14.5602
436.5 224 14.9666
437.5 224 14.9666
438.5 263 16.2173
439.5 228 15.0997
440.5 233 15.2643
441.5 233 15.2643
442.5 239 15.4596
443.5 224 14.9666
444.5 233 15.2643
445.5 230 15.1658
446.5 224 14.9666
447.5 238 15.4272
448.5 238 15.4272
449.5 247 15.7162
450.5 259 16.0935
451.5 228 15.0997
452.5 259 16.0935
453.5 262 16.1864
454.5 237 15.3948
455.5 258 16.0624
456.5 255 15.9687
457.5 231 15.1987
458.5 235 15.3297
459.5 275 16.5831
460.5 244 15.6205
461.5 246 15.6844
462.5 281 16.7631
463.5 229 15.1327
464.5 279 16.7033
465.5 256 16
466.5 263 16.2173
467.5 266 16.3095
468.5 232 15.2315
469.5 239 15.4596
470.5 241 15.5242
471.5 241 15.5242
472.5 272 16.4924
473.5 266 16.3095
474.5 235 15.3297
475.5 255 15.9687
476.5 248 15.748
477.5 263 16.2173
478.5 262 16.1864
479.5 245 15.6525
480.5 252 15.8745
481.5 246 15.6844
482.5 260 16.1245
483.5 248 15.748
484.5 237 15.3948
485.5 263 16.2173
486.5 224 14.9666
487.5 261 16.1555
488.5 255 15.9687
489.5 255 15.9687
490.5 275 16.5831
491.5 255 15.9687
492.5 249 15.7797
493.5 265 16.2788
494.5 230 15.1658
495.5 223 14.9332
496.5 281 16.7631
497.5 262 16.1864
498.5 247 15.7162
499.5 264 16.2481
500.5 232 15.2315
501.5 241 15.5242
502.5 280 16.7332
503.5 242 15.5563
504.5 248 15.748
505.5 242 15.5563
506.5 246 15.6844
507.5 208 14.4222
508.5 261 16.1555
509.5 247 15.7162
510.5 202 14.2127
511.5 269 16.4012
512.5 209 14.4568
513.5 223 14.9332
514.5 256 16
515.5 259 16.0935
516.5 267 16.3401
517.5 255 15.9687
518.5 243 15.5885
519.5 282 16.7929
520.5 261 16.1555
521.5 276 16.6132
522.5 250 15.8114
523.5 253 15.906
524.5 236 15.3623
525.5 248 15.748
526.5 251 15.843
527.5 283 16.8226
528.5 253 15.906
529.5 255 15.9687
530.5 245 15.6525
531.5 254 15.9374
532.5 245 15.6525
533.5 243 15.5885
534.5 220 14.8324
535.5 274 16.5529
536.5 259 16.0935
537.5 268 16.3707
538.5 240 15.4919
539.5 277 16.6433
540.5 239 15.4596
541.5 250 15.8114
542.5 244 15.6205
543.5 272 16.4924
544.5 257 16.0312
545.5 265 16.2788
546.5 267 16.3401
547.5 245 15.6525
548.5 259 16.0935
549.5 261 16.1555
550.5 252 15.8745
551.5 283 16.8226
552.5 265 16.2788
553.5 247 15.7162
554.5 228 15.0997
555.5 242 15.5563
556.5 241 15.5242
557.5 256 16
558.5 249 15.7797
559.5 266 16.3095
560.5 246 15.6844
561.5 274 16.5529
562.5 224 14.9666
563.5 243 15.5885
564.5 243 15.5885
565.5 244 15.6205
566.5 233 15.2643
567.5 238 15.4272
568.5 253 15.906
569.5 279 16.7033
570.5 260 16.1245
571.5 245 15.6525
572.5 247 15.7162
573.5 263 16.2173
574.5 288 16.9706
575.5 259 16.0935
576.5 277 16.6433
577.5 267 16.3401
578.5 250 15.8114
579.5 277 16.6433
580.5 232 15.2315
581.5 245 15.6525
582.5 270 16.4317
583.5 275 16.5831
584.5 229 15.1327
585.5 273 16.5227
586.5 274 16.5529
587.5 262 16.1864
588.5 258 16.0624
589.5 261 16.1555
590.5 219 14.7986
591.5 271 16.4621
592.5 248 15.748
593.5 277 16.6433
594.5 268 16.3707
595.5 276 16.6132
596.5 240 15.4919
597.5 252 15.8745
598.5 293 17.1172
599.5 254 15.9374
600.5 267 16.3401
601.5 242 15.5563
602.5 269 16.4012
603.5 263 16.2173
604.5 243 15.5885
605.5 237 15.3948
606.5 246 15.6844
607.5 244 15.6205
608.5 262 16.1864
609.5 271 16.4621
610.5 249 15.7797
611.5 267 16.3401
612.5 250 15.8114
613.5 248 15.748
614.5 253 15.906
615.5 253 15.906
616.5 255 15.9687
617.5 240 15.4919
618.5 238 15.4272
619.5 257 16.0312
620.5 285 16.8819
621.5 261 16.1555
622.5 257 16.0312
623.5 263 16.2173
624.5 257 16.0312
625.5 265 16.2788
626.5 248 15.748
627.5 249 15.7797
628.5 244 15.6205
629.5 242 15.5563
630.5 213 14.5945
631.5 254 15.9374
632.5 251 15.843
633.5 245 15.6525
634.5 234 15.2971
635.5 274 16.5529
636.5 258 16.0624
637.5 222 14.8997
638.5 257 16.0312
639.5 236 15.3623
640.5 251 15.843
641.5 241 15.5242
642.5 226 15.0333
643.5 275 16.5831
644.5 222 14.8997
645.5 224 14.9666
646.5 226 15.0333
647.5 255 15.9687
648.5 253 15.906
649.5 252 15.8745
650.5 259 16.0935
651.5 263 16.2173
652.5 235 15.3297
653.5 215 14.6629
654.5 243 15.5885
655.5 258 16.0624
656.5 279 16.7033
657.5 232 15.2315
658.5 254 15.9374
659.5 250 15.8114
660.5 248 15.748
661.5 215 14.6629
662.5 250 15.8114
663.5 211 14.5258
664.5 221 14.8661
665.5 247 15.7162
666.5 263 16.2173
667.5 236 15.3623
668.5 247 15.7162
669.5 244 15.6205
670.5 235 15.3297
671.5 244 15.6205
672.5 225 15
673.5 231 15.1987
674.5 227 15.0665
675.5 240 15.4919
676.5 208 14.4222
677.5 236 15.3623
678.5 258 16.0624
679.5 241 15.5242
680.5 224 14.9666
681.5 236 15.3623
682.5 204 14.2829
683.5 248 15.748
684.5 240 15.4919
685.5 247 15.7162
686.5 215 14.6629
687.5 211 14.5258
688.5 242 15.5563
689.5 226 15.0333
690.5 260 16.1245
691.5 213 14.5945
692.5 226 15.0333
693.5 250 15.8114
694.5 230 15.1658
695.5 214 14.6287
696.5 200 14.1421
697.5 226 15.0333
698.5 227 15.0665
699.5 222 14.8997
