beta channel, neutron ToF, beta_time (s)
3,  64.895, 4.91743
3, 573.034, 4.91743
3, 236.866, 4.91743
3, 774.655, 4.91743
3, 116.519, 4.91743
3, 682.553, 4.91743
3, 657.235, 4.91743
3, 1302.960, 4.91743
3, 409.039, 4.91743
3, 519.346, 4.91743
3, 527.300, 4.91743
3, 1108.860, 4.91743
3, 780.789, 4.91743
3, 152.114, 4.93395
2, 201.296, 4.93847
3, 163.035, 4.94838
3, 176.349, 4.98579
3, 169.181,   5.008
2, 228.325, 5.02049
3, 133.012, 5.02348
3, 190.676, 5.03035
3, 181.534, 5.03035
3, 187.236, 5.03651
3, 170.029, 5.03691
3, 128.892, 5.04721
2, 308.288, 5.04949
3, 318.903,  5.0529
3, 153.501,  5.0529
3, 189.579, 5.05568
2, 160.892, 5.06538
2, 221.001, 5.06755
3, 217.316, 5.07288
2, 322.086, 5.07733
2, 229.773, 5.08792
3, 170.609, 5.08896
2, 186.201,  5.0918
3, 484.578, 5.09878
3, 107.647,  5.1049
2, 125.931, 5.10955
2, 248.615, 5.11079
2, 178.241, 5.12919
3, 178.241, 5.12919
2, 178.978,  5.1337
3, 226.149, 5.13549
2, 390.762,  5.1376
3, 177.927, 5.14146
3, 136.135, 5.14619
2, 229.210, 5.15199
3, 169.378, 5.16459
2, 158.598, 5.16807
3, 123.718, 5.17658
3, 187.402, 5.19153
3, 178.090, 5.19161
2, 193.902, 5.19194
3, 189.323, 5.19614
3, 184.324, 5.20435
2, 269.457, 5.20697
3, 218.132, 5.21186
2,  14.670, 5.21321
3,  14.670, 5.21321
2, 185.223, 5.21552
2, 221.783,  5.2187
3, 123.538, 5.23003
3, 175.503, 5.23323
2, 173.769, 5.24437
2, 338.898, 5.24864
2, 216.545,  5.2515
3, 125.900, 5.25511
3, 222.649,  5.2579
3, 183.363, 5.27175
2, 178.025, 5.27355
3, 153.869,  5.2923
2, 194.463, 5.30154
2, 168.386, 5.30492
3, 457.843, 5.30788
2, 189.079, 5.31396
3, 207.112, 5.31662
3, 177.211, 5.31666
3, 216.567, 5.31913
2, 435.459, 5.31934
2, 442.706, 5.31934
3, 435.459, 5.31934
3, 442.706, 5.31934
2, 180.184, 5.32348
2, 657.865, 5.32396
2, 666.865, 5.32396
3, 657.865, 5.32396
3, 666.865, 5.32396
3, 167.181, 5.32801
3, 103.659, 5.33321
2, 102.915, 5.33326
3, 173.079, 5.33525
2, 170.830, 5.33601
2, 250.919, 5.33691
3, 402.305,  5.3441
3, 239.069, 5.34542
2, 316.202, 5.34663
3, 222.278, 5.34848
3, 191.449, 5.34887
3, 239.129, 5.35442
3, 188.547, 5.36557
3, 227.225,  5.3699
3, 238.345, 5.37012
3, 188.503, 5.37141
2, 174.936, 5.37597
3, 440.836, 5.37622
3, 101.452, 5.37862
3, 319.586, 5.37927
2, 181.536, 5.38124
2, 1126.914,  5.3858
2, 257.608,  5.3858
2,  90.801,  5.3899
3, 204.052, 5.39182
3, 347.186, 5.39349
3, 180.361, 5.40086
3, 172.371, 5.40384
3, 233.600, 5.40548
2, 203.660, 5.40595
3, 300.268, 5.40967
3, 188.202, 5.41335
3, 173.397, 5.42038
3, 179.311, 5.42038
2, 171.903, 5.43956
2, 537.810, 5.44075
2, 174.901, 5.44178
3, 599.290, 5.45685
2, 222.937, 5.45886
